"Average",,,,,,,,,,,,,"P0",,,,,,,,,,,,"P1",,,,,,,,,,,,"P2",,,,,,,,,,,,"R0",,,,,,,,,,,,"R1",,,,,,,,,,,,"R2",,,,,,,,,,,,"C0",,,,,,,,,,,
"Index [1]","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","exx [1] - Lagrange","eyy [1] - Lagrange","exy [1] - Lagrange","e1 [1] - Lagrange","e2 [1] - Lagrange","gamma [1] - Lagrange","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","exx [1] - Lagrange","eyy [1] - Lagrange","exy [1] - Lagrange","e1 [1] - Lagrange","e2 [1] - Lagrange","gamma [1] - Lagrange","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","exx [1] - Lagrange","eyy [1] - Lagrange","exy [1] - Lagrange","e1 [1] - Lagrange","e2 [1] - Lagrange","gamma [1] - Lagrange","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","exx [1] - Lagrange","eyy [1] - Lagrange","exy [1] - Lagrange","e1 [1] - Lagrange","e2 [1] - Lagrange","gamma [1] - Lagrange","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","exx [1] - Lagrange","eyy [1] - Lagrange","exy [1] - Lagrange","e1 [1] - Lagrange","e2 [1] - Lagrange","gamma [1] - Lagrange","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","exx [1] - Lagrange","eyy [1] - Lagrange","exy [1] - Lagrange","e1 [1] - Lagrange","e2 [1] - Lagrange","gamma [1] - Lagrange","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","exx [1] - Lagrange","eyy [1] - Lagrange","exy [1] - Lagrange","e1 [1] - Lagrange","e2 [1] - Lagrange","gamma [1] - Lagrange","X [mm]","Y [mm]","Z [mm]","U [mm]","V [mm]","W [mm]","exx [1] - Lagrange","eyy [1] - Lagrange","exy [1] - Lagrange","e1 [1] - Lagrange","e2 [1] - Lagrange","gamma [1] - Lagrange"
0,-6.47171e-05,-0.0246862,-0.000169081,0,0,0,-1.383e-17,-1.53182e-17,-2.82629e-19,-1.02211e-17,-1.89272e-17,-0.0127376,28.4011,45.048,0.87664,0,0,0,-1.22192e-17,-2.04825e-17,4.22433e-18,-1.04315e-17,-2.22702e-17,0.402622,28.7445,31.1664,0.432043,0,0,0,-8.09333e-18,-1.36935e-17,5.74348e-20,-8.07253e-18,-1.37143e-17,0.0138717,29.0699,15.2597,-0.345128,0,0,0,-5.79706e-18,-1.38793e-17,-5.63747e-19,-5.75791e-18,-1.39184e-17,-0.0692966,25.0191,44.732,0.808302,0,0,0,-1.13268e-17,-2.18825e-17,3.69068e-18,-9.48303e-18,-2.37263e-17,0.519349,24.8829,30.8391,0.326224,0,0,0,-9.7487e-18,-1.30961e-17,1.34634e-18,-8.35872e-18,-1.44861e-17,0.424819,24.6874,14.4635,-0.323386,0,0,0,-8.31566e-18,-1.37916e-17,-2.60844e-19,-8.16224e-18,-1.3945e-17,-0.0764971,17.5556,27.5794,0.0662292,0,0,0,-1.27815e-17,-1.7501e-17,6.31524e-19,-1.14181e-17,-1.88644e-17,0.197121
1,-6.47171e-05,-0.0246862,-0.000169081,-6.94902e-05,2.44801e-05,-0.00050058,-1.73642e-06,9.34763e-07,1.04254e-06,1.01479e-05,-1.09496e-05,0.0721235,28.4011,45.048,0.87664,-0.000536379,-0.000187681,0.000269231,8.17056e-06,1.83236e-05,7.35013e-06,2.21973e-05,4.29694e-06,1.08515,28.7445,31.1664,0.432043,0.000297989,-1.51643e-05,0.00381263,1.43883e-05,2.70542e-05,3.40073e-06,2.80206e-05,1.34218e-05,1.32776,29.0699,15.2597,-0.345128,-7.27051e-05,-7.35709e-05,0.00220394,-3.69035e-06,-6.01312e-06,3.20037e-07,-3.59244e-06,-6.11104e-06,0.0875812,25.0191,44.732,0.808302,-3.8957e-05,8.05309e-05,-0.000320327,-1.43902e-06,1.72132e-05,2.61553e-06,2.04414e-05,-4.66719e-06,0.267987,24.8829,30.8391,0.326224,-4.39309e-06,-9.50423e-05,0.000806575,1.30721e-05,1.86695e-05,5.38304e-06,2.36606e-05,8.08099e-06,0.466048,24.6874,14.4635,-0.323386,-0.000108966,4.48377e-06,9.15679e-05,2.75964e-06,-6.05935e-06,-8.82511e-07,4.054e-06,-7.3537e-06,-0.0102642,17.5556,27.5794,0.0662292,-2.44485e-05,4.95717e-05,-0.000135704,-6.69743e-07,1.26768e-06,1.35781e-06,9.5454e-06,-8.94746e-06,0.0819624
2,0.118662,-0.174589,0.000615642,0.00273126,-0.00491782,0.00760673,8.02219e-07,3.63185e-05,-4.52047e-06,9.43391e-05,-5.72185e-05,-0.0828235,28.4011,45.048,0.87664,0.00188779,-0.00584643,0.0260686,6.30418e-05,4.56717e-05,-2.19591e-05,7.80254e-05,3.06882e-05,-0.591219,28.7445,31.1664,0.432043,0.00361562,-0.00542115,0.0139751,3.44161e-05,1.62931e-05,-2.29258e-05,5.00104e-05,6.98789e-07,-0.59628,29.0699,15.2597,-0.345128,0.00299924,-0.00537851,0.0109925,4.76843e-06,-2.63466e-06,6.56084e-06,8.65268e-06,-6.51891e-06,0.528383,25.0191,44.732,0.808302,0.00280835,-0.00569212,0.0166747,6.00328e-05,3.35106e-05,-1.71983e-05,8.49839e-05,8.55953e-06,-0.32207,24.8829,30.8391,0.326224,0.00335069,-0.00560763,0.0144241,3.53719e-05,1.05539e-05,-1.41207e-05,4.39352e-05,1.99063e-06,-0.368917,24.6874,14.4635,-0.323386,0.00303755,-0.0056228,0.0103024,-1.02462e-06,-4.41686e-06,-9.52954e-07,6.25692e-06,-1.16984e-05,0.141522,17.5556,27.5794,0.0662292,0.00303906,-0.00544871,0.0122458,2.62248e-05,9.11267e-06,-5.20725e-06,4.39303e-05,-8.59268e-06,-0.130774
3,-0.645837,-2.85115,-0.0456873,0.00527426,-0.00252427,0.00683868,7.40025e-05,-3.6433e-05,2.41882e-05,0.000303308,-0.000265739,-0.0463493,,,,,,,,,,,,,28.7445,31.1664,0.432043,0.0183095,-0.0213088,-0.0174557,0.000627891,-0.000105911,-0.000456848,0.000850808,-0.000328828,-0.456995,29.0699,15.2597,-0.345128,0.00334051,-0.00451361,0.00959376,0.000631396,-0.000156339,0.000124017,0.000651856,-0.000176799,0.150999,34.6902,43.8469,0.660437,-0.0117215,-0.00940011,0.0398877,-6.8084e-05,0.00129407,0.00193455,0.00300055,-0.00177456,0.885793,25.2873,30.495,0.278543,0.00282898,-0.00916305,0.0241355,0.00026991,-0.000175982,-0.000533636,0.000777186,-0.000683257,-0.751834,24.6874,14.4635,-0.323386,0.000702784,-0.00467214,0.00973365,0.000242181,-0.000121022,-2.36765e-05,0.000380625,-0.000259466,-0.200107,17.7421,23.6209,-0.0901832,0.00412407,-0.004457,0.0119165,0.000255346,-3.64227e-05,-2.49287e-05,0.000713138,-0.000494216,-0.261255
4,-1.50464,-4.16126,-0.0662406,0.00917272,0.0044538,0.0218375,0.000189886,0.000129277,8.79792e-05,0.000525579,-0.000206416,0.158166,,,,,,,,,,,,,28.7445,31.1664,0.432043,0.0500536,-0.0230053,-0.0329435,0.000136872,-0.00126158,0.00286478,0.00239845,-0.00352317,0.669669,29.0699,15.2597,-0.345128,0.0120767,0.00876226,0.0147227,-0.000295687,-0.000760268,5.53421e-05,-0.000274398,-0.000781556,0.122709,43.561,40.4267,0.919134,-0.0806359,0.020281,-0.152793,0.0251895,0.00403908,0.00255643,0.0254955,0.00373311,0.116648,27.312,30.2084,0.272011,0.0190901,0.0029906,-0.0157492,0.00140599,0.000533943,0.00143295,0.0026906,-0.000750667,0.703556,24.6874,14.4635,-0.323386,0.00963992,0.00509113,0.0187943,-3.41808e-05,-0.000356118,3.87497e-05,7.53812e-05,-0.00046568,0.163086,16.7955,21.2381,-0.176501,0.0132556,0.00672358,0.00705592,0.000527633,0.000215369,0.000305744,0.00103355,-0.000290551,0.397266
5,-2.10675,-4.76157,-0.0759915,0.00963046,0.00293722,0.0285901,-3.92966e-05,0.000267119,7.30552e-05,0.000627757,-0.000399934,0.0123621,,,,,,,,,,,,,28.7445,31.1664,0.432043,0.0538448,-0.0207045,-0.0351002,0.000528857,-0.00314968,0.00375339,0.00288376,-0.00550458,0.560498,29.0699,15.2597,-0.345128,0.0154343,0.0122468,0.00235219,-0.000270372,-0.000706949,-9.22159e-05,-0.000243324,-0.000733997,-0.195496,,,,,,,,,,,,,22.2821,29.3898,0.0842774,0.0230853,-0.0054519,0.00475057,-0.000648419,-8.91836e-05,0.000517225,0.00185696,-0.00259456,-0.0152943,24.6874,14.4635,-0.323386,0.0114917,0.00536202,0.0225734,-3.9209e-05,-0.000250963,-1.78644e-05,6.64622e-05,-0.000356634,-0.291596,15.7259,20.3244,-0.224662,0.0134483,0.0049817,0.0204863,-0.000366953,0.00055043,0.000229817,0.000976017,-0.000792539,0.145695
6,-1.87821,-4.94463,-0.0772646,0.0142285,0.00598414,0.0210067,0.000130538,0.000313352,0.000203342,0.000821101,-0.00037721,0.307868,,,,,,,,,,,,,,,,,,,,,,,,,29.0699,15.2597,-0.345128,0.0203755,0.0171054,-0.00802295,-0.000380768,-0.00050009,0.000224219,-0.000208356,-0.000672502,0.652938,,,,,,,,,,,,,25.3466,28.9193,0.0566003,0.0195851,-0.0032874,0.0333227,0.000125721,-0.000502102,0.000302114,0.000787552,-0.00116393,0.531194,24.7385,14.4731,-0.323451,0.0202047,0.00921247,0.0152762,0.000337341,-0.000187836,0.00019575,0.000433884,-0.000284379,0.353158,16.094,20.092,-0.232448,0.0187295,0.0101106,0.0097329,0.000447006,0.000292727,0.00029995,0.00103622,-0.000296486,0.491777
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,-2.38295,-5.28639,-0.082311,-0.0347897,0.0151727,0.0542816,0.000451808,7.13432e-05,0.000268578,0.00099872,-0.000475568,0.326975,,,,,,,,,,,,,,,,,,,,,,,,,29.0699,15.2597,-0.345128,-0.0287793,0.0384693,0.0196663,0.00188991,-0.000878572,0.000301486,0.00192248,-0.000911137,0.106849,,,,,,,,,,,,,23.9109,28.1087,-0.0884922,-0.0221964,0.00159246,0.0645527,0.000958791,-0.00452465,0.00139645,0.00139927,-0.00496512,0.322947,24.6874,14.4635,-0.323386,-0.0404364,0.0165642,0.0937483,0.00135074,-0.000340153,0.000287156,0.00145724,-0.00044666,0.242698,15.3277,19.7618,-0.263547,-0.0340938,0.0183692,0.05933,0.0010217,-0.000683187,0.000760822,0.00155064,-0.00121212,0.47171
9,-2.42726,-5.06752,-0.0810837,-0.0523961,0.0212878,0.0434575,0.0003664,0.000320464,0.000159412,0.00102428,-0.000337413,0.309053,,,,,,,,,,,,,,,,,,,,,,,,,29.0699,15.2597,-0.345128,-0.0480458,0.0506931,0.271525,0.000605116,-0.000271639,-0.00021182,0.000654686,-0.000321209,-0.224698,,,,,,,,,,,,,25.0434,27.9237,-0.0830189,-0.0547952,0.0101873,0.127684,0.000511522,-0.00275684,0.000509251,0.000884946,-0.00313026,-0.00640179,24.6874,14.4635,-0.323386,-0.0489656,0.0318256,0.0915067,0.000595836,-8.47629e-05,1.44946e-05,0.000724328,-0.000213254,-0.014129,15.3279,19.9325,-0.256095,-0.0516335,0.0289345,0.0424405,0.00103366,-0.000109549,0.000177111,0.00147503,-0.000550922,0.223335
